Conditions;Studies
Abdominal Neoplasms;2
Adenocarcinoma;26
Adenocarcinoma in Situ;1
Adenoma;1
Angiokeratoma;1
Astrocytoma;3
Bone Cysts;1
Bone Marrow Neoplasms;4
Bone Neoplasms;1
Brain Neoplasms;4
Breast Neoplasms;28
Bronchial Neoplasms;11
Burkitt Lymphoma;1
Carcinoma;59
Central Nervous System Neoplasms;3
Cervical Intraepithelial Neoplasia;2
Cholangiocarcinoma;3
Colonic Neoplasms;5
Colorectal Neoplasms;16
Cystadenocarcinoma;1
Cystadenocarcinoma, Serous;2
Cysts;2
Digestive System Neoplasms;28
Dupuytren Contracture;1
Endocrine Gland Neoplasms;20
Endometrial Neoplasms;2
Esophageal Neoplasms;1
Fallopian Tube Neoplasms;6
Fibroma;1
Ganglioglioma;1
Ganglion Cysts;4
Ganglioneuroma;1
Gastrointestinal Neoplasms;28
Gastrointestinal Stromal Tumors;2
Genital Neoplasms, Female;17
Genital Neoplasms, Male;35
Glioblastoma;3
Glioma;4
Head and Neck Neoplasms;7
Heart Neoplasms;1
Hematologic Neoplasms;5
Histiocytoma, Malignant Fibrous;1
Infratentorial Neoplasms;1
Intestinal Neoplasms;16
Kidney Neoplasms;13
Leiomyoma;3
Leiomyosarcoma;1
Leukemia;34
Liposarcoma;1
Liver Neoplasms;3
Lung Neoplasms;16
Lymphoma;32
Melanoma;9
Mesothelioma;2
Multiple Myeloma;11
Myofibroma;3
Neoplasm Metastasis;23
Neoplasm, Residual;4
Neoplasms by Histologic Type;126
Neoplasms, Basal Cell;1
Neoplasms, Bone Tissue;1
Neoplasms, Connective and Soft Tissue;9
Neoplasms, Connective Tissue;6
Neoplasms, Cystic, Mucinous, and Serous;1
Neoplasms, Fibrous Tissue;1
Neoplasms, Germ Cell and Embryonal;17
Neoplasms, Glandular and Epithelial;49
Neoplasms, Mesothelial;1
Neoplasms, Nerve Tissue;17
Neoplasms, Neuroepithelial;5
Neoplasms, Plasma Cell;11
Neoplasms, Second Primary;2
Neoplasms, Squamous Cell;3
Neoplasms, Unknown Primary;1
Neoplastic Processes;12
Nervous System Neoplasms;3
Neuroblastoma;1
Neurocytoma;1
Neuroectodermal Tumors;16
Neuroectodermal Tumors, Primitive;16
Neuroectodermal Tumors, Primitive, Peripheral;1
Neuroendocrine Tumors;11
Nevi and Melanomas;8
Nevus;8
Nevus, Pigmented;8
Oligodendroglioma;1
Osteosarcoma;2
Ovarian Cysts;1
Ovarian Neoplasms;17
Pancreatic Neoplasms;7
Penile Neoplasms;1
Peritoneal Neoplasms;2
Polycythemia Vera;3
Precancerous Conditions;7
Precursor Cell Lymphoblastic Leukemia-Lymphoma;11
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma;2
Preleukemia;10
Prostatic Neoplasms;36
Rectal Neoplasms;7
Respiratory Tract Neoplasms;13
Sarcoma;3
Small Cell Lung Carcinoma;2
Squamous Cell Carcinoma of Head and Neck;3
Stomach Neoplasms;2
Synovial Cyst;4
Testicular Neoplasms;1
Thoracic Neoplasms;14
Thyroid Neoplasms;1
Triple Negative Breast Neoplasms;4
Urinary Bladder Neoplasms;10
Urogenital Neoplasms;71
Urologic Neoplasms;20
Uterine Cervical Neoplasms;1
Uterine Neoplasms;3
